Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Total, non-permanent residents","Total, non-permanent residents",2021-01-01QQ3,Ontario,Q3,,01-01-2021,,580677,580677,580677
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2021-01-01QQ3,Ontario,Q3,,01-01-2021,,68830,68830,68830
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Ontario,Q3,,01-01-2021,,35415,35415,35415
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Ontario,Q3,,01-01-2021,,748,748,748
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Ontario,Q3,,01-01-2021,,1901,1901,1901
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Ontario,Q3,,01-01-2021,,30766,30766,30766
,"Total, permit holders and their family members","Total, permit holders and their family members",2021-01-01QQ3,Ontario,Q3,,01-01-2021,,511847,511847,511847
,Work permit holders only,Work permit holders only,2021-01-01QQ3,Ontario,Q3,,01-01-2021,,243040,243040,243040
,Study permit holders only,Study permit holders only,2021-01-01QQ3,Ontario,Q3,,01-01-2021,,162343,162343,162343
,Work and study permit holders,Work and study permit holders,2021-01-01QQ3,Ontario,Q3,,01-01-2021,,87865,87865,87865
,Other,,2021-01-01QQ3,Ontario,Q3,,01-01-2021,,18599,18599,18599
,"Total, non-permanent residents","Total, non-permanent residents",2021-01-01QQ3,British Columbia,Q3,,01-01-2021,,252211,252211,252211
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,British Columbia,Q3,,01-01-2021,,8517,8517,8517
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,British Columbia,Q3,,01-01-2021,,4726,4726,4726
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,British Columbia,Q3,,01-01-2021,,220,220,220
